type,captures,urls,new_urls
text/html,913124060,624137268,519200732
image/gif,163781866,128422320,127335806
text/plain,23298950,5571074,5227424
image/png,22795074,7265047,7168537
application/octet-stream,7084501,6934400,6934372
image/jpeg,2486301,2187543,2150147
application/json,1651377,3647,3608
text/css,1321361,94783,83799
image/svg+xml,658397,395,253
application/atom+xml,220818,111981,100190
audio/mpeg,85040,81497,80121
application/javascript,28104,97,94
text/csv,8330,6,0
application/x-shockwave-flash,8062,67,38
application/xml,5194,31,20
application/ogg,1694,4,2
video/mp4,1351,25,12
application/pdf,337,50,35
application/vnd.ms-fontobject,302,9,3
audio/ogg,137,52,11
font/woff2,68,9,5
text/calendar,28,24,21
video/webm,10,10,10
application/postscript,7,2,1
application/zip,6,6,6
application/pgp-keys,6,5,2
application/x-tar,4,2,1
application/vnd.android.package-archive,3,1,0
audio/x-wav,1,1,1
