type,captures,urls,new_urls
text/html,12471446,8151242,7887830
image/png,3652059,2581339,2550670
image/gif,893814,802258,798294
image/jpeg,398062,24408,14911
application/atom+xml,121908,3453,1919
text/css,80374,4014,2470
application/json,27944,26159,26117
image/svg+xml,11045,883,523
text/plain,3383,598,575
video/mp4,3275,98,61
video/webm,2409,136,97
application/zip,1712,234,151
video/ogg,1061,14,8
application/x-shockwave-flash,888,77,62
application/xhtml+xml,855,258,251
application/xml,662,563,557
application/pdf,508,257,172
text/vnd.wap.wml,383,117,80
audio/mpeg,355,15,15
application/javascript,143,35,27
application/octet-stream,40,36,32
application/vnd.ms-excel,12,11,11
font/woff,11,6,6
font/ttf,9,5,5
x-epoc/x-sisx-app,4,2,2
font/woff2,4,4,4
application/msword,4,3,3
audio/ogg,3,2,2
