type,captures,urls,new_urls
text/html,367459245,278901181,267681912
image/png,170987837,50342216,49433109
image/gif,153380224,134018351,133870484
image/jpeg,33000476,8252897,8053512
application/json,16852537,16282464,16273837
text/css,12057799,77052,52554
text/plain,3321579,3056883,3051619
image/svg+xml,1282427,8347,4178
application/zip,783675,771112,770482
application/javascript,612593,216857,216084
application/xml,331542,236663,136102
video/mp4,299449,2874,1427
video/webm,263003,2819,1440
application/xhtml+xml,83630,45312,44532
application/atom+xml,61713,23224,21472
video/ogg,54191,277,110
audio/mpeg,31773,3647,3104
application/x-shockwave-flash,24376,4302,3812
application/octet-stream,20524,12032,11690
application/vnd.ms-excel,14663,6957,6599
audio/x-wav,14374,13457,13441
font/ttf,13306,98,36
audio/ogg,10649,186,107
application/pdf,8548,3166,2406
font/woff,6896,88,32
application/x-redhat-package-manager,6814,10,2
application/x-msi,6097,10,6
text/vnd.wap.wml,5401,2746,2418
font/woff2,5017,14,9
application/vnd.google-earth.kmz,4171,1294,994
application/vnd.google-earth.kml+xml,1592,123,87
text/calendar,1520,1205,799
application/vnd.debian.binary-package,784,4,1
text/csv,215,59,33
text/vnd.sun.j2me.app-descriptor,198,107,102
video/x-flv,157,4,3
application/msword,147,39,12
application/java-archive,89,47,27
application/x-msdos-program,70,58,50
x-epoc/x-sisx-app,36,18,15
application/vnd.mozilla.xul+xml,36,8,0
application/x-apple-diskimage,20,10,4
video/quicktime,14,13,7
image/vnd.microsoft.icon,13,9,8
application/vnd.symbian.install,11,8,4
text/cache-manifest,5,1,1
application/x-debian-package,5,0,0
image/tiff,4,3,2
application/vnd.rim.cod,4,4,4
