type,captures,urls,new_urls
text/html,4996725,2682698,2104115
application/x-shockwave-flash,101486,11240,8952
text/css,1511,586,411
image/gif,475,176,126
application/json,273,11,5
application/octet-stream,80,11,8
image/png,74,29,12
text/x-component,22,1,1
image/jpeg,22,7,7
application/javascript,15,13,13
text/plain,2,1,1
