type,captures,urls,new_urls
text/html,8043556,2271291,1827194
image/png,6652787,1412931,1320559
image/gif,1985134,1665659,1658343
image/jpeg,1525893,101870,66844
text/css,276074,12397,7981
application/json,82952,79051,78954
application/xml,78986,26462,24040
image/svg+xml,52968,2102,984
application/xhtml+xml,8599,5169,5019
application/octet-stream,7326,3251,2528
text/plain,7267,1080,1011
video/mp4,7059,249,128
video/webm,5669,262,131
application/zip,4380,233,161
video/ogg,1550,24,12
application/atom+xml,1302,1263,1253
application/javascript,903,457,444
text/vnd.wap.wml,829,240,150
font/ttf,804,41,18
audio/mpeg,431,17,15
application/pdf,353,294,237
video/x-flv,185,3,2
application/vnd.google-earth.kml+xml,77,6,3
application/x-shockwave-flash,75,15,10
text/vnd.sun.j2me.app-descriptor,46,29,29
font/woff,42,12,9
font/woff2,23,5,5
x-epoc/x-sisx-app,9,4,4
application/msword,9,3,3
application/vnd.google-earth.kmz,6,4,2
application/vnd.ms-excel,5,5,5
application/java-archive,1,1,1
