type,captures,urls,new_urls
text/html,3000614431,1644343501,1309461561
application/json,481166508,380433400,375888477
application/x-shockwave-flash,103001455,53903001,32515424
text/css,42914915,14819,12133
image/png,12380151,8027,4297
image/gif,11250922,9370389,9369671
application/xml,2983613,1700400,1276002
image/svg+xml,2286243,17125,7872
text/plain,2167922,2032019,2031848
application/javascript,2000213,701570,694729
image/jpeg,868923,474034,468194
text/calendar,9932,3962,3761
video/mp4,6806,427,74
video/webm,4410,9,4
application/zip,826,63,26
font/ttf,625,154,145
font/woff,545,7,3
application/postscript,285,38,14
audio/mpeg,114,100,94
application/wasm,91,7,7
application/octet-stream,83,41,33
video/ogg,71,4,1
image/x-photoshop,31,2,1
text/csv,24,15,14
font/woff2,10,4,4
application/gzip,8,8,8
application/pdf,3,3,2
application/atom+xml,2,2,2
audio/x-wav,1,1,1
