type,captures,urls,new_urls
text/html,13667190,8073150,7219600
image/png,1501542,1482804,1482061
image/gif,42908,42794,42676
application/json,23351,11586,11244
image/jpeg,5440,3908,3793
application/javascript,344,34,16
text/plain,243,182,167
text/css,51,12,7
