type,captures,urls,new_urls
text/html,27418609,4048325,2474957
image/png,15010454,892296,637692
image/svg+xml,13274113,114993,56029
image/jpeg,11569330,1773365,1355616
font/woff2,6321973,902,271
text/css,4363368,165934,89224
application/vnd.ms-fontobject,3374449,10719,5127
image/gif,1863210,94827,65952
application/json,1128781,575736,561515
text/plain,174363,20576,18708
application/xml,103265,6446,2009
video/mp4,76035,18685,15837
application/pdf,75353,16067,10316
text/x-component,60740,2470,1208
application/javascript,50936,2365,2182
video/quicktime,23362,3456,2453
application/zip,9272,5689,3888
application/octet-stream,2107,190,49
font/woff,947,176,115
font/ttf,917,174,114
audio/x-wav,827,39,16
audio/x-aiff,650,84,22
audio/mpeg,408,284,199
application/x-shockwave-flash,357,257,245
application/mac-binhex40,343,141,121
application/x-x509-ca-cert,251,90,20
text/calendar,233,66,38
application/postscript,42,12,1
application/atom+xml,29,0,0
application/msword,28,22,17
image/tiff,23,21,9
application/x-stuffit,19,11,7
application/x-tar,12,12,12
audio/basic,4,1,1
application/vnd.ms-powerpoint,3,2,0
application/x-pkcs7-crl,1,1,0
application/vnd.ms-excel,1,1,1
