type,captures,urls,new_urls
text/html,428395,200994,150851
image/jpeg,630,549,509
image/gif,253,107,87
application/javascript,132,28,24
application/xml,80,29,20
audio/mpeg,51,12,7
text/plain,32,26,24
application/x-shockwave-flash,7,2,1
text/css,5,5,5
image/png,2,2,2
