type,captures,urls,new_urls
text/html,38376317,21414551,19564251
text/plain,264107,68622,67733
application/json,149914,127156,126617
application/xhtml+xml,3338,257,254
application/javascript,745,161,130
image/jpeg,27,25,24
application/xml,27,3,1
text/css,1,1,1
