type,captures,urls,new_urls
text/html,6748305,2888937,2620156
image/png,4612219,367316,283880
image/jpeg,830355,66052,47628
text/css,180156,9669,5981
image/gif,174734,23849,18501
image/svg+xml,67502,2715,1544
application/json,57935,55217,55155
application/xhtml+xml,22061,16327,16085
video/mp4,9522,290,145
text/plain,5764,1547,1511
video/webm,5537,269,129
application/xml,4685,2554,2498
application/zip,3794,156,90
text/vnd.wap.wml,2177,1002,872
video/ogg,1454,20,8
application/javascript,800,489,475
font/ttf,521,28,17
application/pdf,454,294,246
audio/mpeg,439,36,36
application/octet-stream,194,136,102
application/vnd.google-earth.kml+xml,144,107,105
application/atom+xml,138,75,74
audio/ogg,87,53,37
application/x-shockwave-flash,67,7,5
application/vnd.google-earth.kmz,39,10,4
font/woff,32,8,7
audio/x-wav,14,6,6
font/woff2,10,5,5
x-epoc/x-sisx-app,3,2,2
text/csv,2,2,2
text/vnd.sun.j2me.app-descriptor,1,1,1
application/x-jam,1,1,1
application/java-archive,1,1,1
