type,captures,urls,new_urls
text/html,1513696,502956,331248
image/png,18769,761,549
image/gif,10665,3947,2712
image/jpeg,9301,4052,2886
application/javascript,4601,298,236
text/css,3560,535,340
application/json,1087,306,293
application/octet-stream,1057,605,376
application/pdf,447,206,114
application/x-shockwave-flash,445,239,176
text/plain,243,102,56
application/msword,176,110,56
application/rtf,76,47,22
application/vnd.ms-powerpoint,74,33,14
image/svg+xml,59,8,3
message/rfc822,50,25,9
audio/mpeg,25,16,16
application/x-tar,21,8,4
video/x-ms-wmv,3,3,3
application/vnd.ms-excel,3,2,1
audio/x-ms-wma,1,1,1
application/x-ms-wmz,1,1,0
