type,captures,urls,new_urls
text/html,6764926559,6602418413,6478970149
application/json,140306067,135948431,134619523
application/atom+xml,52150691,50730954,50577714
text/plain,1860734,1084138,1052449
image/svg+xml,770364,573756,565869
image/png,88464,4796,3738
image/gif,9021,7482,7408
image/jpeg,5873,401,370
application/javascript,2469,99,70
application/pdf,714,712,706
image/vnd.microsoft.icon,713,3,0
application/xml,702,33,26
application/octet-stream,380,33,10
application/x-shockwave-flash,277,12,7
text/css,157,70,37
application/vnd.ms-fontobject,68,28,6
application/java-archive,3,2,2
text/csv,1,1,1
model/mesh,1,1,1
