type,captures,urls,new_urls
text/html,6572341,1525120,1323751
image/png,4208270,326234,242486
image/jpeg,1524676,89639,55082
text/css,224493,8891,5742
image/gif,220765,16386,12062
application/xml,184203,103995,98333
image/svg+xml,50227,1962,1005
application/json,12517,10816,10751
video/mp4,8383,244,113
video/webm,7549,268,132
application/xhtml+xml,5465,2434,2406
application/zip,3546,225,157
video/ogg,1708,30,9
text/plain,1307,78,53
text/vnd.wap.wml,494,173,128
application/pdf,475,298,215
audio/mpeg,409,16,16
font/ttf,390,30,19
application/javascript,386,231,222
application/octet-stream,301,265,254
video/x-flv,126,2,1
application/vnd.google-earth.kml+xml,64,4,2
application/x-shockwave-flash,53,6,5
font/woff,40,10,9
application/atom+xml,37,32,32
font/woff2,15,6,6
audio/ogg,14,14,14
