type,captures,urls,new_urls
text/html,8544859,728871,451868
image/svg+xml,1133128,956216,952645
image/png,231854,45572,40541
image/jpeg,229833,37023,26063
image/gif,218212,23076,14763
text/css,42595,4033,2843
application/javascript,36189,2622,2051
application/pdf,21440,5068,3135
application/json,17493,3537,3133
font/woff2,14555,50,23
image/vnd.microsoft.icon,12631,176,91
text/plain,11297,284,35
font/woff,6698,59,28
application/vnd.ms-fontobject,6443,84,60
font/ttf,5877,30,20
application/x-shockwave-flash,3380,834,703
video/webm,1381,66,46
video/mp4,1266,67,47
application/xml,700,107,11
text/x-component,684,10,2
application/msword,456,56,35
text/calendar,175,52,50
application/octet-stream,88,18,12
application/vnd.ms-powerpoint,44,34,21
application/zip,20,11,9
audio/mpeg,16,1,1
application/vnd.ms-excel,13,9,4
application/postscript,12,8,6
application/vnd.openxmlformats-officedocument.presentationml.presentation,5,2,1
audio/x-ms-wma,4,4,4
video/mpeg,3,3,3
text/vnd.wap.wml,2,1,0
text/vnd.sun.j2me.app-descriptor,2,2,2
application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,1,1
