type,captures,urls,new_urls
text/html,206454476,151793443,139595836
image/png,671173,18741,13817
text/css,612322,101850,94306
image/jpeg,455769,84475,73705
application/json,329747,152394,147935
image/gif,188241,33276,32080
font/woff2,168090,114,24
application/javascript,151805,21243,20788
image/svg+xml,120148,656,351
image/vnd.microsoft.icon,105020,96,14
application/vnd.ms-fontobject,56943,138,25
application/xml,24233,2635,1419
application/x-shockwave-flash,5944,2141,2051
text/plain,2228,729,723
application/atom+xml,349,116,84
application/pdf,264,170,122
application/octet-stream,57,56,9
image/tiff,2,1,1
