type,captures,urls,new_urls
text/html,79346477,41846707,37905626
image/png,3190936,8360,6909
image/gif,2310445,1073303,1064811
text/plain,1153174,1099821,1099705
application/javascript,150570,1531,1102
image/jpeg,109463,12932,7191
text/css,17361,405,181
image/svg+xml,6291,50,17
application/x-shockwave-flash,1398,260,131
application/json,574,228,213
application/xml,303,26,13
application/octet-stream,205,12,2
application/msword,114,30,12
application/vnd.ms-fontobject,85,4,2
application/vnd.android.package-archive,27,7,5
application/pdf,16,6,3
application/xhtml+xml,14,14,13
text/vnd.wap.wml,2,1,0
audio/x-pn-realaudio,2,1,1
application/zip,2,1,1
