type,captures,urls,new_urls
text/html,158416628728,152246790788,150839944647
application/json,6221319057,6106873025,6104671399
text/plain,17287348,17,3
application/javascript,11982383,473962,20249
image/gif,4581456,4467946,4463108
image/vnd.microsoft.icon,1059032,10,0
application/xml,439003,1441,1331
application/atom+xml,252294,98760,69995
application/xhtml+xml,40783,11691,7351
image/png,36700,2683,2499
image/jpeg,18403,2564,2505
text/css,11639,353,311
application/x-shockwave-flash,6125,53,29
application/octet-stream,1655,361,326
application/pdf,503,8,3
application/postscript,349,12,8
application/zip,72,4,4
image/svg+xml,6,1,1
font/ttf,6,1,1
text/vnd.wap.wml,3,2,2
text/cache-manifest,1,0,0
