type,captures,urls,new_urls
text/html,436511,122161,89465
application/json,7973,1771,1644
image/png,5954,743,448
application/javascript,2199,166,138
image/jpeg,1718,589,461
image/gif,1429,135,70
text/css,781,143,97
application/xml,217,14,7
application/x-shockwave-flash,69,13,3
application/atom+xml,60,18,4
application/pdf,32,18,7
text/plain,15,7,4
video/x-flv,8,2,1
application/xhtml+xml,7,2,1
application/vnd.symbian.install,5,3,2
application/zip,4,2,1
application/x-msdos-program,4,3,2
application/vnd.ms-excel,4,3,0
application/x-apple-diskimage,2,2,1
application/x-redhat-package-manager,1,1,1
application/vnd.android.package-archive,1,1,1
