type,captures,urls,new_urls
text/html,280081,265945,264795
image/png,28535,2122,1467
application/json,1247,835,694
text/css,1198,53,45
application/octet-stream,540,8,4
image/gif,94,3,2
image/svg+xml,52,2,1
