type,captures,urls,new_urls
text/html,256532,35775,22575
image/gif,134120,20232,13051
image/jpeg,78302,8213,5085
image/png,65577,5358,2948
application/pdf,22889,2033,1275
text/css,20361,1518,657
text/plain,9549,652,393
application/javascript,9422,1425,942
application/json,3839,3304,3265
video/mpeg,1271,77,39
video/mp4,970,142,95
audio/mpeg,684,38,19
application/vnd.ms-fontobject,582,134,122
image/svg+xml,533,110,99
image/vnd.microsoft.icon,500,4,1
application/octet-stream,278,34,23
application/x-shockwave-flash,260,26,15
application/zip,125,13,9
video/webm,67,56,44
audio/ogg,38,36,33
application/msword,34,8,4
audio/x-wav,33,4,0
application/vnd.ms-powerpoint,14,6,6
application/xml,6,5,4
application/x-director,2,2,2
