type,captures,urls,new_urls
text/html,24268360,10927124,7381736
image/gif,2171663,856938,536586
image/jpeg,1772745,485319,340167
image/png,1243602,183280,120520
text/css,922819,126700,71779
application/octet-stream,52213,18022,7802
application/msword,20794,13821,10129
application/json,16828,3369,2849
video/x-ms-asf,15906,4698,3179
text/plain,14996,7284,4134
video/x-ms-wvx,12280,6209,3170
application/x-shockwave-flash,10090,5947,4397
application/pdf,7834,4330,3142
application/xhtml+xml,7525,2011,801
application/javascript,7115,1236,1085
image/svg+xml,5622,643,503
application/hta,2679,1730,1683
image/tiff,2220,1725,1055
application/vnd.openxmlformats-officedocument.wordprocessingml.document,2201,1262,771
text/x-component,1451,283,153
video/x-ms-wmv,1285,613,338
application/vnd.ms-powerpoint,1146,660,528
text/calendar,789,686,631
application/vnd.ms-fontobject,703,33,30
application/zip,640,460,176
application/rtf,632,435,253
application/x-ms-wmz,403,286,150
application/mac-binhex40,402,134,77
audio/x-wav,381,123,73
application/xml,363,37,18
video/x-msvideo,358,157,142
application/vnd.ms-excel,341,260,148
application/vnd.openxmlformats-officedocument.presentationml.presentation,334,140,78
application/x-director,320,185,98
application/postscript,319,198,143
video/mp4,280,33,22
video/webm,236,34,23
audio/x-ms-wax,210,130,72
application/x-cdf,175,53,3
audio/x-ms-wma,169,88,47
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,168,95,56
video/x-ms-wmx,155,81,41
application/atom+xml,153,17,12
audio/mpeg,140,72,63
application/x-netcdf,137,76,16
text/vnd.wap.wml,78,2,2
audio/x-aiff,62,27,7
application/x-x509-ca-cert,58,40,27
message/rfc822,51,29,17
text/x-vcalendar,44,36,34
audio/midi,30,14,2
application/vnd.google-earth.kmz,25,6,2
video/mpeg,24,19,17
application/pics-rules,24,9,0
application/x-stuffit,9,6,5
application/vnd.ms-pki.seccat,8,3,3
video/x-ms-wm,4,2,1
application/x-tar,3,2,1
application/x-ms-wmd,3,1,0
application/vnd.visio,2,2,0
application/vnd.ms-officetheme,2,2,1
video/quicktime,1,1,1
application/x-troff-ms,1,1,1
