type,captures,urls,new_urls
text/html,1346729,421616,267980
image/gif,9562,3910,2695
image/jpeg,6882,3917,2796
image/png,2891,432,376
text/css,1490,352,186
application/octet-stream,1057,605,376
application/pdf,447,206,114
application/x-shockwave-flash,445,239,176
application/javascript,420,6,0
text/plain,236,98,56
application/msword,176,110,56
application/rtf,76,47,22
application/vnd.ms-powerpoint,74,33,14
message/rfc822,50,25,9
audio/mpeg,25,16,16
application/x-tar,21,8,4
video/x-ms-wmv,3,3,3
application/vnd.ms-excel,3,2,1
audio/x-ms-wma,1,1,1
application/x-ms-wmz,1,1,0
