type,captures,urls,new_urls
text/html,233831,150010,125700
text/css,3083,2542,2529
image/png,1002,140,132
image/jpeg,487,34,22
application/javascript,321,303,300
application/x-shockwave-flash,272,93,91
image/gif,247,143,139
text/plain,9,1,1
application/octet-stream,2,1,1
image/svg+xml,1,1,1
application/vnd.ms-fontobject,1,1,1
application/pdf,1,1,1
