type,captures,urls,new_urls
text/html,9949259,2342689,2215405
text/css,66008,16988,16322
image/jpeg,46452,805,463
image/gif,22234,510,341
application/javascript,18119,15172,15152
image/png,7355,146,100
application/x-shockwave-flash,7108,124,46
application/json,2186,33,21
application/msword,928,33,11
application/vnd.ms-excel,814,12,4
text/plain,730,49,11
application/octet-stream,415,87,73
audio/mpeg,350,7,3
image/svg+xml,61,6,6
font/ttf,55,1,1
application/zip,38,4,3
application/rar,4,2,1
application/xml,3,3,2
