type,captures,urls,new_urls
text/html,29601070,14869845,9811994
image/gif,1248890,1225958,1223693
image/jpeg,15384,12922,12550
image/png,7215,1175,546
application/json,6316,4248,4223
application/vnd.google-earth.kml+xml,4025,3454,3131
text/css,3336,1128,922
text/plain,1003,58,36
application/xml,15,9,8
image/svg+xml,1,1,1
application/x-wais-source,1,1,1
