type,captures,urls,new_urls
text/html,707548436,379113635,279793268
text/plain,1008569,982783,943196
image/gif,815333,444402,437374
application/json,76938,52444,52069
audio/x-mpegurl,18819,16329,15908
application/xspf+xml,2444,2353,2351
image/jpeg,1206,420,211
text/css,569,95,63
audio/x-pn-realaudio,431,284,280
audio/x-ms-wma,101,101,101
video/x-ms-asf,76,43,43
application/xml,63,42,30
image/png,59,3,3
application/javascript,13,6,5
application/pdf,11,6,6
audio/mpeg,1,1,1
application/octet-stream,1,1,1
