type,captures,urls,new_urls
text/html,15643291,7920050,7052733
image/jpeg,529996,361820,351222
image/png,165197,22442,19225
image/gif,132073,70901,69589
application/json,81011,68873,67662
text/css,38615,3797,3299
text/plain,11040,3625,3520
application/octet-stream,2471,200,165
application/javascript,2384,466,435
application/vnd.ms-fontobject,1371,140,126
image/svg+xml,1357,157,142
application/x-shockwave-flash,1047,58,36
video/ogg,456,123,88
video/x-flv,267,267,267
application/zip,73,60,60
video/mp4,64,19,18
application/xml,51,7,2
video/webm,49,19,14
application/vnd.ms-officetheme,24,3,1
audio/mpeg,18,13,13
application/vnd.openxmlformats-officedocument.wordprocessingml.document,17,5,0
application/pdf,15,7,4
