type,captures,urls,new_urls
text/html,5708040,1330925,1081987
image/png,2795764,159707,107755
image/jpeg,1218585,91616,62772
image/gif,316149,27919,21668
text/css,204728,8540,5219
application/xml,78986,26462,24040
application/xhtml+xml,8587,5166,5019
application/octet-stream,7326,3251,2528
image/svg+xml,6033,563,366
application/atom+xml,1302,1263,1253
application/json,1025,173,151
text/vnd.wap.wml,829,240,150
text/plain,625,164,107
application/zip,552,101,95
application/javascript,534,240,234
video/webm,392,71,50
application/pdf,353,294,237
video/mp4,343,41,30
video/x-flv,185,3,2
video/ogg,83,5,4
application/vnd.google-earth.kml+xml,77,6,3
text/vnd.sun.j2me.app-descriptor,46,29,29
font/woff,24,3,2
font/ttf,23,3,2
application/x-shockwave-flash,17,13,9
x-epoc/x-sisx-app,9,4,4
application/msword,9,3,3
application/vnd.google-earth.kmz,6,4,2
application/vnd.ms-excel,5,5,5
application/java-archive,1,1,1
