type,captures,urls,new_urls
text/html,5880719,399792,239223
image/gif,212431,22458,14486
image/png,130662,29516,27588
image/jpeg,118719,10871,8500
text/css,17688,2160,1619
application/pdf,8547,3087,1856
image/svg+xml,4165,43,26
application/x-shockwave-flash,3380,834,703
text/plain,2705,117,20
text/x-component,673,8,2
application/msword,452,55,35
application/vnd.ms-fontobject,408,21,13
text/calendar,175,52,50
video/webm,158,5,5
video/mp4,138,5,5
application/json,72,4,3
application/vnd.ms-powerpoint,44,34,21
image/vnd.microsoft.icon,35,1,0
application/octet-stream,25,12,8
application/zip,20,11,9
audio/mpeg,16,1,1
application/vnd.ms-excel,13,9,4
application/postscript,12,8,6
application/vnd.openxmlformats-officedocument.presentationml.presentation,5,2,1
audio/x-ms-wma,4,4,4
video/mpeg,3,3,3
text/vnd.wap.wml,2,1,0
text/vnd.sun.j2me.app-descriptor,2,2,2
