type,captures,urls,new_urls
text/html,995173,385950,365624
image/png,11222,4054,4032
image/gif,8865,3325,2473
image/jpeg,7121,3288,3038
text/vnd.wap.wml,788,277,182
text/css,590,240,215
application/zip,399,198,198
application/pdf,383,147,144
application/atom+xml,112,78,78
application/vnd.ms-excel,89,43,43
text/plain,41,13,10
x-epoc/x-sisx-app,33,12,9
application/x-shockwave-flash,20,15,15
text/vnd.sun.j2me.app-descriptor,13,10,9
application/xml,9,9,9
application/octet-stream,4,4,4
application/xhtml+xml,2,0,0
application/javascript,1,1,0
