type,captures,urls,new_urls
text/html,6823810,5338251,4797403
image/gif,30075,4418,3680
image/png,3224,141,122
text/css,2906,876,846
text/plain,2410,602,595
image/jpeg,629,192,140
application/x-shockwave-flash,45,7,4
