type,captures,urls,new_urls
text/html,90590,69618,69611
image/jpeg,460,455,455
image/png,65,33,33
image/gif,57,30,30
application/javascript,13,7,7
application/x-shockwave-flash,6,4,4
text/css,4,2,2
text/vnd.sun.j2me.app-descriptor,2,2,1
application/pdf,2,1,1
