type,captures,urls,new_urls
text/html,19458774,9384848,6457509
image/gif,1724980,749444,473218
image/jpeg,568716,267961,197691
text/css,179329,45221,27389
image/png,130086,20671,18601
application/octet-stream,27048,14074,5581
application/msword,20247,13461,9900
text/plain,13313,6264,3245
video/x-ms-wvx,11276,5544,3021
video/x-ms-asf,8109,3130,2281
application/x-shockwave-flash,7849,4735,3355
application/pdf,4990,3535,2754
application/hta,2678,1729,1683
image/tiff,2065,1619,983
application/xhtml+xml,1932,331,239
video/x-ms-wmv,1285,613,338
application/vnd.ms-powerpoint,862,603,485
text/x-component,700,148,88
application/zip,640,460,176
application/rtf,616,424,250
text/calendar,605,538,493
application/x-ms-wmz,403,286,150
application/mac-binhex40,402,134,77
audio/x-wav,379,121,73
video/x-msvideo,354,154,140
application/x-director,319,184,98
application/postscript,310,191,137
application/vnd.openxmlformats-officedocument.wordprocessingml.document,292,207,196
application/vnd.ms-excel,268,187,118
application/x-cdf,175,53,3
audio/x-ms-wma,169,88,47
audio/x-ms-wax,166,101,62
video/x-ms-wmx,153,80,41
application/x-netcdf,137,76,16
audio/x-aiff,58,23,7
message/rfc822,51,29,17
application/vnd.openxmlformats-officedocument.presentationml.presentation,51,42,37
text/x-vcalendar,44,36,34
application/xml,41,16,12
audio/midi,30,14,2
application/x-x509-ca-cert,27,19,14
application/pics-rules,24,9,0
audio/mpeg,23,14,11
video/mpeg,21,17,15
application/json,10,6,6
application/x-stuffit,9,6,5
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,7,7,7
application/atom+xml,6,1,1
video/x-ms-wm,4,2,1
application/x-tar,3,2,1
application/x-ms-wmd,3,1,0
text/vnd.wap.wml,2,0,0
application/vnd.visio,2,2,0
application/vnd.ms-officetheme,2,2,1
video/quicktime,1,1,1
application/x-troff-ms,1,1,1
