type,captures,urls,new_urls
text/html,3516043,2180893,1865055
application/atom+xml,2191,1966,1945
image/png,426,83,82
image/gif,52,7,7
image/jpeg,45,10,10
text/css,43,13,12
text/plain,21,3,3
application/json,19,2,2
