type,captures,urls,new_urls
text/html,2519971,618983,323985
image/gif,417350,112167,53269
image/jpeg,156636,27559,21380
application/pdf,64923,26711,14562
image/png,55453,2273,1831
text/css,50501,1326,819
text/plain,8827,4398,3198
text/x-component,6306,30,9
application/x-shockwave-flash,4860,1667,1250
application/xml,3672,1692,1253
application/zip,633,314,251
application/javascript,577,20,0
video/quicktime,573,264,210
application/mac-binhex40,196,135,101
application/octet-stream,179,106,80
image/svg+xml,175,113,4
application/x-director,155,80,73
application/x-stuffit,77,52,43
application/x-tar,66,40,37
application/msword,42,19,13
application/xhtml+xml,38,4,3
audio/mpeg,22,14,14
application/vnd.ms-excel,21,7,4
audio/x-aiff,15,10,5
application/rdf+xml,13,3,1
audio/x-wav,3,2,2
video/mpeg,2,2,2
application/vnd.ms-powerpoint,2,2,2
