type,captures,urls,new_urls
text/html,4136182,1767625,1337466
text/css,3168,1190,1112
text/plain,484,211,174
image/gif,449,45,37
application/json,89,12,7
image/jpeg,27,20,18
application/x-silverlight,15,3,3
application/xml,11,3,1
text/calendar,2,2,2
application/pdf,1,1,1
application/octet-stream,1,1,1
