type,captures,urls,new_urls
text/html,272075,192761,179646
text/css,2483,73,65
image/jpeg,1839,1658,1634
image/png,1241,880,867
image/gif,113,93,92
text/plain,107,71,69
application/octet-stream,12,11,11
audio/mpeg,2,1,1
application/x-tar,1,1,1
