type,captures,urls,new_urls
text/html,16111,6020,3464
image/png,3253,413,319
image/jpeg,1126,420,371
image/gif,818,76,60
text/css,253,46,42
application/javascript,215,30,26
application/xml,111,9,7
application/json,29,1,1
application/pdf,19,12,6
application/atom+xml,19,8,2
application/x-shockwave-flash,15,5,1
text/plain,11,5,3
video/x-flv,6,1,1
application/vnd.symbian.install,5,3,2
application/x-msdos-program,4,3,2
application/x-apple-diskimage,2,2,1
application/vnd.ms-excel,2,2,0
application/zip,1,1,1
application/x-redhat-package-manager,1,1,1
application/vnd.android.package-archive,1,1,1
