type,captures,urls,new_urls
text/html,531235,339903,210509
image/gif,4894,746,490
image/jpeg,3915,3158,2797
text/css,158,46,11
application/x-shockwave-flash,58,14,8
text/plain,39,27,16
application/xml,2,1,1
audio/x-pn-realaudio,1,1,1
