type,captures,urls,new_urls
text/html,14246043,7668487,5622524
image/gif,1332480,643510,406702
image/jpeg,285431,179553,132530
text/css,76908,26597,14735
application/octet-stream,24808,12680,4529
application/msword,19084,12685,9554
text/plain,12514,5797,2991
video/x-ms-wvx,6922,2834,1392
application/x-shockwave-flash,5888,3479,2466
application/pdf,4356,3138,2563
image/tiff,1703,1344,860
image/png,1572,1339,1197
video/x-ms-asf,1540,854,594
video/x-ms-wmv,1273,605,338
application/zip,640,460,176
application/vnd.ms-powerpoint,633,475,428
application/rtf,588,403,249
application/x-ms-wmz,398,281,148
application/mac-binhex40,384,123,77
audio/x-wav,377,119,73
video/x-msvideo,336,141,134
application/x-director,319,184,98
application/postscript,305,186,136
text/x-component,273,99,64
application/hta,192,16,6
audio/x-ms-wma,169,88,47
application/x-cdf,167,49,3
application/x-netcdf,137,76,16
video/x-ms-wmx,123,54,28
application/vnd.ms-excel,107,67,43
audio/x-aiff,57,22,7
text/calendar,55,53,52
text/x-vcalendar,44,36,34
message/rfc822,43,25,15
audio/midi,30,14,2
audio/x-ms-wax,24,13,8
application/pics-rules,19,6,0
video/mpeg,13,12,11
audio/mpeg,12,8,6
application/x-x509-ca-cert,9,7,6
application/x-stuffit,9,6,5
application/x-tar,3,2,1
application/x-ms-wmd,3,1,0
video/quicktime,1,1,1
application/x-troff-ms,1,1,1
application/vnd.visio,1,1,0
