type,captures,urls,new_urls
text/html,89913,58363,47403
image/gif,2450,1296,886
image/jpeg,1556,1297,966
application/pdf,239,140,65
text/css,56,15,7
text/plain,48,23,10
application/x-shockwave-flash,39,24,11
application/msword,28,25,22
application/xml,3,1,1
application/octet-stream,3,3,3
