type,captures,urls,new_urls
text/html,953,465,393
image/jpeg,397,266,251
image/gif,183,164,154
text/css,25,16,15
application/octet-stream,22,13,12
application/x-shockwave-flash,13,8,8
application/msword,2,2,2
application/zip,1,1,1
