type,captures,urls,new_urls
text/html,581423,307253,188943
image/gif,4328,2097,1630
image/jpeg,3644,2498,1983
application/octet-stream,961,574,362
text/css,342,145,89
application/x-shockwave-flash,262,179,145
image/png,261,255,246
text/plain,227,91,54
application/msword,155,97,55
application/pdf,98,76,58
text/html,581423,307253,188943
image/gif,4328,2097,1630
image/jpeg,3644,2498,1983
application/octet-stream,961,574,362
text/css,342,145,89
application/x-shockwave-flash,262,179,145
image/png,261,255,246
text/plain,227,91,54
application/msword,155,97,55
application/pdf,98,76,58
